Date,Date Precision,State/Region,Township,Village Tract/Ward,Location,Latitude,Longitude,Location Precision,Location Confidence,Category,Sub-Category,Actor-1,Actor-2,Notes,Fatalities,SAC Fatalities,Injuries,Casualties confidence,Source,
2/9/2021,1,Yangon,Hlaing Thayar,,Shwe Lin Ban,16.905658,96.067226,1,1,Violence Against Civilians,Assasination,PDF,SAC,"At around 8am on September 2nd, a member of the Military Administration Council of Hlaing Thayar township was shot dead near Shwe Lin Ban industrial zone. Two explosive devices detonated as the SAC came to investigate the shooting, injuring one soldier. A group called the Hlaing Tharyar Dalan Eradication Team claimed responsibility for the assasination.",1,,3,,https://www.myanmar-now.org/en/news/attackers-in-yangon-kill-suspected-military-informant-then-detonate-bombs-when-junta-forces,
2/9/2021,1,Magway,Pauk,,Wun Chone,21.32493973,94.37682343,1,1,Violence Against Civilians,Arson,PDF,,"At around 12:30pm on September 2nd, SAC troops set fire to houses in Wun Chone village in Pauk township. No injuries were reported and the villages have fled into the village.",,,,,https://t.me/khitthitnews/6745,
31/8/2021,1,Kachin,Myitkyina,,Myothit Gyi Ward,25.402661,97.367467,1,1,Violence Against Civilians,,SAC,,"At around 7pm on August 31st, a 25-year-old man was shot dead by police near Mywaddy Bank in Myothit Gyi Ward, unconfirmed reports suggest he may have been carrying an explosive device.",1,,,,http://burmese.dvb.no/archives/485242,
30/8/2021,1,Naypyitaw,Pyinmana,,Between La Bet Taung and Seik Hpu Taung villages,19.605978,96.416117,2,1,Armed Resistance,,PDF,SAC,"At around 4pm on August 30th, members of the Naypyitaw PDF coalition attacked a Tatmadaw convoy on the road between La Bet Taung and Seik Hpu Taung villages. 11 Tatmadaw soldiers were killed in clashes that lasted around three hours. No members of the PDF were killed or injured.",11,11,,,https://www.myanmar-now.org/en/news/local-resistance-forces-strike-military-column-in-naypyitaw,
1/9/2021,1,Sagaing,Pale,,Khin Thar,22.09141922,94.48796844,1,1,Violence Against Civilians,,SAC,,"On September 1st, and reportedly in retaliation to clashes between the PDF and the Tatmadaw the day before, two villagers of Khin Thar village were killed by the Tatmadaw's 50th Infantry Division.",2,,,,http://burmese.dvb.no/archives/485407,
30/8/2021,1,Shan (North),Muse,,Pang Hsi Teing,24.103465,98.405547,2,2,Armed Clashes,Position seized by SAC,SAC,NA,"On the night of August 30th, Tatmadaw soldiers captured a hilltop position held by the MNDAA.",,,,,https://www.irrawaddy.com/news/burma/ethnic-armed-group-captures-strategic-hill-from-myanmar-junta-forces.html,
31/8/2021,1,Shan (North),Muse,,Shikai Hills,24.043357,98.35409,2,2,Armed Clashes,,NA,SAC,"On August 30th/31st and September 1st there were clashes between the MNDAA and the Tatmadaw in the Shikai hills, near Mong Ko. 26 people have been killed since August 26th, including 2 members of the MNDAA.",26,24,,3,https://www.rfa.org/burmese/news/monekoe-serious-battle-09022021063348.html,
1/9/2021,1,Kayah,Demoso,,Between Demoso and Loikaw,19.588512,97.18236,3,3,Violence Against Civilians,,SAC,,"On September 1st, a woman in Demoso township was shot in the head by Tatmadaw troops belonging to the 427th and 102nd LIB.",,,1,2,https://www.rfa.org/burmese/news/monekoe-serious-battle-09022021063348.html,
31/8/2021,1,Sagaing,Kawlin,,Near Kyun Taw village,23.76051,95.57795,2,2,Armed Resistance,Ambush,PDF,SAC,"At around 10am on August 31st, a convoy of 5 military vehicles was attacked by mines near the village of Kyun Taw in Kawlin township. Locals reported to The 74 Media that roughly 40 Tatmadaw soliders were killed in the mine attack.",40,40,,,https://mizzima.com/article/spring-revolution-daily-news-1st-september,
31/8/2021,1,Magway,Pauk,,Dein Kyin Village,21.368024,94.39138,2,2,Armed Resistance,Ambush,PDF,SAC,"During the evening of August 31st, a large convoy of Tatmadaw soliders was ambushed, mined and attacked by the local chapter of the PDF. Clashes lasted approximately half an hour and there were heavy casualties by the Tatmadaw, initial media claims say 100 SAC soldiers were killed, but this seems unlikely. The location is also unclear, but has been located to Dee Doke Pyin based on clues in other news articles.",25,25,,,https://www.facebook.com/shwepheemyaynews/posts/1024045585078239,
31/8/2021,1,Yangon,Hlegu,,Thinzar Oo bus stop,17.096989,96.219227,2,2,Armed Resistance,Ambush,PDF,SAC,At around 11am on August 31st a military transport truck was hit by an explosion in Hlegu town. One soldier was reportedly injured.,,,1,2,https://www.irrawaddy.com/news/burma/myanmar-army-truck-blasted-in-yangon-soldier-injured.html,
30/8/2021,1,Mandalay,Taungtha,,Hpa Yar Hla,21.3308506,95.38713837,1,1,Violence Against Civilians,Assasination,PDF,SAC,"On August 30th, a military-appointed village administrator and suspected informant was shot dead in his house in Hpa Yar Hla.",1,,,2,https://www.myanmar-now.org/en/news/recent-junta-appointed-village-administrator-assassinated-in-mandalay-region,
31/8/2021,3,Shan (North),Muse,,Namhu,24.08385,98.092481,0,1,Armed Clashes,,NA,SAC,"In late August, the bodies of 17 presumed Tatmadaw soldiers was found in a vehicle near Namhu village. Details are unclear but given the presence of heavy fighting between the Tatmadaw and the MNDAA in the area over previous days, it is likely that these are soldiers killed in an attack by the MNDAA.",19,17,,,https://english.shannews.org/archives/24178,
29/8/2021,3,Shan (North),Muse,,Nam Har,24.03558922,98.31942749,1,1,Armed Clashes,,NA,SAC,"On the morning of August 29th there were clashes between the MNDAA (a member of the Northern Alliance) and the Tatmadaw near the village of Nam Har, near Mong Ko. Locals were forced to flee.",,,,,https://english.shannews.org/archives/24178,
31/8/2021,2,Chin,Mindat,,Chat,21.55459023,93.85662079,1,1,Armed Resistance,,PDF,SAC,"In late August, two Tatmadaw soldiers in Chat village were killed by the Chinland Defense Forces (a local confederacy of the PDF).",2,2,,,https://www.mizzima.com/article/bodies-two-tatmadaw-troops-dumped-pit-latrine,
14/8/2021,1,Yangon,Ahlone,,After Ahlone Road Station,16.795303,96.128797,1,1,Armed Resistance,Ambush,PDF,SAC,"At around 4pm on August 14th, a group of PDF members boarded a military carriage of a train, killing six police officers and siezing their weapons.",6,6,,,https://www.myanmar-now.org/en/news/after-a-bold-attack-pdf-fighters-consider-their-next-move,
30/8/2021,1,Tanintharyi,Thayetchaung,,Ka Net Thi Ri,13.66036034,98.30191803,1,1,Armed Resistance,Assasination,PDF,SAC,"On the night of August 30th, suspected PDF members opened fire on a group of four suspected military informants belonging to the Pyu Saw Htee militia in Ka Net Thi Ri village. Two were killed and another two - including the military appointed village administrator - were injured.",2,2,2,2,https://www.myanmar-now.org/en/news/two-alleged-members-of-pyu-saw-htee-group-shot-dead-in-dawei,
1/9/2021,1,Shan (South),Pekon,,Hkawng Ei,19.84082031,96.93045807,1,1,Armed Resistance,,PDF,SAC,"At around 3pm on September 1st, members of the Karenni People's Defense Force clashed with Tatmadaw soldiers for around two hours near the village of Hkawng Ei. At least two troops were injured.",,,2,2,https://www.facebook.com/KantarawaddyTimes/posts/4261719063946571,
1/9/2021,1,Shan (North),Muse,,Pang Hsi Teing,24.082295,98.394315,1,1,Armed Clashes,SAC Position Seized,NA,SAC,"At around 8am on September 1st, clashes between the MNDAA and the Tatmadaw broke out near the village of Pang Hsi Teing, lasting approximately two hours. A number of local villages have been emptied by the fighting. Eight Tatmadaw soldiers and three MNDAA fighters were killed.",11,8,,2,https://www.irrawaddy.com/news/burma/ethnic-armed-group-captures-strategic-hill-from-myanmar-junta-forces.html,
30/8/2021,1,Shan (North),Muse,,Mong Koe,24.09511,98.305354,2,2,Armed Clashes,,NA,SAC,"On August 30th there were clashes between the MNDAA and the Tatmadaw near Mong Koe, one MNDAA soldier was killed.",1,,,3,https://www.irrawaddy.com/news/burma/ethnic-armed-group-captures-strategic-hill-from-myanmar-junta-forces.html,
1/9/2021,1,Kayah,Loikaw,,Loikaw Town Hall,19.679574,97.211968,1,1,Armed Resistance,,PDF,SAC,"At around 10pm on September 1st, troops with the KNDF attacked Tatamadaw troops that were camped at the Loikaw Town Hall building. There were casualties on both sides but numbers are unclear.",,,,,https://www.facebook.com/khitthitnews/posts/1287603631676980,
2/9/2021,1,Yangon,Hlaing Thayar,,Ward 1,16.886027,96.074757,1,1,Violence Against Civilians,Assasination,PDF,SAC,At around 6pm on September 2nd a suspected military informant was shot and killed.,1,,,1,https://www.facebook.com/ayeyarwaddytimes/posts/1979293365561988,
3/9/2021,1,Sagaing,Taze,,War Ya Nge,22.947879,95.334246,1,2,Armed Resistance,,PDF,SAC,"At around 4am on September 3rd, a Tatmadaw convoy of 4 vehicles hit a landmine on the Kan Htu Ma-Taze Road, around 2 miles West of Taze city, near the village of War Ya Nge. One vehicle was reportedly destroyed, casualties are unknown.",,,,,http://burmese.dvb.no/archives/485442,
3/9/2021,2,Kayin,Hpa-An,,Ta Kaung Boe,17.133325,97.624485,1,1,Armed Clashes,,KNLA,SAC,"On September 3rd, clashes took place between the Tatmadaw and the 1st Brigade of the KNLA near the village of Ta Kaung Boe. Three Tatmadaw soldiers were reportedly killed, and an additional five were injured.",3,3,5,2,https://www.facebook.com/steev.lynn.54/posts/840281540185498,
3/9/2021,2,Kachin,Shwegu,,Kyauk Gyi,24.314461,96.723282,1,2,Armed Clashes,,KIA,SAC,"On September 3rd, clashes took place between the KIA's 8th Battalion and the Tatmadaw's 363rd LIB near the village of Kyauk Gyi in Shwegu township.",,,,,https://www.facebook.com/kachinwavesnews/posts/4657506834262392,
3/9/2021,1,Kayin,Ye,,Ye Township Police Station,15.254602,97.859171,0,1,Armed Resistance,Assasination,PDF,SAC,"At around 3:30pm on September 3rd, a police officer stationed at Ye Township Police Station was shot and killed by presumed PDF members.",1,1,,,http://burmese.dvb.no/archives/485573?fbclid=IwAR3T15AnXHlaAPYZfQ3HB8mNGoLac4M8AoMnQslHY_fuiB42ktZbPrfQfyw,
3/9/2021,1,Sagaing,Kalay,,Yae Shin,22.75993919,94.12831116,1,1,Violence Against Civilians,Arson,SAC,,"At around 7pm on September 3rd, parts of Yae Shin village in Kalay township were set on fire by SAC troops.",,,,,https://www.facebook.com/ugambira/posts/1651776658358913,
3/9/2021,1,Sagaing,Pinlebu,,Between Nan Aung Thar and Pan Khu villages,23.994456,95.465452,1,1,Armed Resistance,,PDF,SAC,"On the evening of September 3rd, an unidentified armed group - presumably the PDF - attacked a Burmese police vehicle between Nan Aung Thar and Pan Khu villages. One officer was killed and an additional officer injured",1,1,,,https://voiceofmyanmarnews.com/news/2021/09/04/%E1%80%95%E1%80%84%E1%80%BA%E1%80%9C%E1%80%8A%E1%80%BA%E1%80%98%E1%80%B0%E1%80%B8%E1%80%99%E1%80%BE%E1%80%AC-%E1%80%A1%E1%80%99%E1%80%BE%E1%80%AF%E1%80%85%E1%80%85%E1%80%BA%E1%80%9E%E1%80%BD%E1%80%AC/,
3/9/2021,1,Sagaing,Pale,,Between Wet Kya and Le Kan,21.951999,94.497534,1,1,Armed Resistance,,PDF,SAC,"On September 3rd, troops with the Pale PDF attacked a Tatmadaw convoy with mines between Wet Kya and Le Kan villages in Pale township. At least 7 troops were killed and an additional 7 were injured.",7,7,7,2,http://burmese.dvb.no/archives/485625,
3/9/2021,1,Mon,Thaton,,Pa Yit Kho,17.116529,97.460941,2,2,Armed Clashes,Ambush,KNLA,SAC,"On September 3rd, troops with KNLA attacked SAC BGF troops with mines near Pein Hne Taw village, in Pein Hne Taw village tract. A truck was damaged and troops were injured.",,,2,3,https://www.facebook.com/ANFREL/photos/pcb.4870784999602386/4870783139602572,
2/9/2021,1,Sagaing,Myaung,,Su Lay Kone,21.66883087,95.26508331,1,1,Violence Against Civilians,Assasination,PDF,SAC,"At around midday on September 2nd, a suspected military informant was shot dead in Su Lay Kone village.",1,,,,http://burmese.dvb.no/archives/485542,
3/9/2021,1,Kayin,Kyainseikgyi,,Naung Ta Kho,16.097196,98.306227,2,2,Armed Clashes,,KNLA,SAC,"On September 3rd, the Tatmadaw and KNLA clashed between Noet Ta Pa Lar and Law Tha Maw villages. Location is approximate. Three soldiers were reported injured.",,,3,3,http://burmese.dvb.no/archives/485720,
4/9/2021,1,Sagaing,Kalay,,Between Yae Shin and Inn Kyun,22.745188,94.126413,1,1,Armed Resistance,,PDF,SAC,"On September 4th, clashes broke out between the Kalay PDF and the Tatmadaw between Yae Shin and Inn Kyun villages. At least 8 Tatmadaw soldiers were killed and three PDF fighters were injured.",8,8,3,3,http://burmese.dvb.no/archives/485741,
4/9/2021,1,Yangon,Insein,,Myo Thit Market,16.878159,96.098557,1,1,Violence Against Civilians,Assasination,PDF,SAC,"At around 1pm on September 4th, a suspected military informant was shot dead on B-7 Road near Myothit Market in Insein township.",1,,,,http://burmese.dvb.no/archives/485744,
4/9/2021,1,Magway,Madaya,,Tha Hpan Kaing,22.24411011,96.25871277,1,1,Violence Against Civilians,Assasination,PDF,SAC,"On September 4th, a suspected military informant was stabbed to death in Tha Hpan Kaing village.",1,,,,http://burmese.dvb.no/archives/485754,
4/9/2021,1,Sagaing,Taze,,Taze Market,22.939651,95.372384,0,1,Armed Resistance,Assasination,PDF,SAC,At around 5pm on September 4th two police officers were shot to death near Taze Market. The Taze People's Commrades have claimed the shooting.,2,2,,2,http://burmese.dvb.no/archives/485771,
3/9/2021,1,Kayin,Myawaddy,,Ukari Htat Camp,16.274912,98.671713,0,1,Armed Clashes,,KNDO,SAC,At around 8pm on September 3rd a combined force of the DBKA and the KNDO attacked the Ukari Htat Camp. The number of casualties is unclear.,,,,,https://t.me/khitthitnews/6911,
3/9/2021,1,Yangon,North Dagon,,Pinlon Hall,16.883033,96.179117,0,1,Armed Resistance,Explosion,PDF,SAC,"Near midnight on September 3rd, two explosions went off in North Dagon township, in Yangon. one near a community hall guarded by police and another at the North Dagon police staion. One of these blasts killed an officer.",,,,,https://t.me/khitthitnews/6917,
3/9/2021,1,Yangon,North Dagon,,North Dagon Police Station,16.896818,96.195477,0,1,Armed Resistance,Explosion,PDF,SAC,"Near midnight on September 3rd, two explosions went off in North Dagon township, in Yangon. one near a community hall guarded by police and another at the North Dagon police staion. One of these blasts killed an officer.",1,1,,2,https://t.me/khitthitnews/6917,
4/9/2021,1,Mon,Bilin,,Lay Kay,17.3669796,97.43211365,1,1,Armed Clashes,,KNLA,SAC,"At around 3:30pm on September 4th, the KNLA attacked a joint Tatmadaw/BGF convoy near the village of Lay Kay. Two vehicles were destroyed and one soldier was seriously injured.",,,1,2,https://t.me/khitthitnews/6959,
4/9/2021,1,Chin,Hakha,,Chin State Government Office,22.64384,93.5979,0,1,Armed Resistance,,PDF,SAC,"At around 11:30pm on September 4th, three soldiers guarding the Chin State Government Office in Hakha were shot dead by the Chinland Defense Force (a PDF affiliated group).",3,3,,2,https://t.me/khitthitnews/7002,
5/9/2021,1,Sagaing,Ye-U,,In Taing,22.8166008,95.28009033,1,1,Violence Against Civilians,Assasination,PDF,SAC,At around 6pm on September 5th locals beat and stabbed the USDP-member and Military-appointed village administrator of In Taing village to death. ,1,,,2,https://t.me/khitthitnews/7030,
4/9/2021,1,Chin,Tedim,,Tedim Police Station,23.376028,93.653924,1,1,Armed Resistance,Assasination,PDF,SAC,"At around 11am on September 4th, a police officer in Tedim township was shot while on patrol in the town. He died the next day.",1,1,,2,https://t.me/khitthitnews/7044,
5/9/2021,1,Yangon,Seikgyikanaungto,,Seikgyikanaungto,16.757683,96.113528,1,1,Armed Resistance,Assasination,PDF,SAC,"At around 11am on September 5th, a police officer in Seikgyikanaungto was stabbed to death.",1,1,,2,https://t.me/khitthitnews/7044,
6/9/2021,1,Mandalay,Mogok,,Mogok Market,22.913533,96.493318,1,1,Violence Against Civilians,Assasination,PDF,SAC,"At around 10am on September 6th, two people were shot to death outside of Mogok Market. The two were suspected of being military informants and were USDP members.",2,,,2,https://t.me/khitthitnews/7053,
5/9/2021,1,Sagaing,Tabayin,,Nyaung Hla,22.65276909,95.41811371,1,1,Violence Against Civilians,Assasination,PDF,,On September 5th in Nyaung Hla village two family members of police officers in Tayabin township were shot and killed by unknown gunmen.,2,,,2,https://t.me/khitthitnews/7068,
6/9/2021,1,Bago,Pyay,,Thiri Khettara Yadanar City Hall,18.820453,95.242997,1,1,Armed Resistance,Assasination,PDF,SAC,"Between 2pm and 3pm in Pyay, two exploisive devices detonated outisde Chettara Park on Bogyoke Road. Three SAC members were killed. The Pyay Underground Force claimed responsibility for the bombing.",3,3,,2,https://t.me/khitthitnews/7083,
6/9/2021,1,Kachin,Mohnyin,,"Nyaung Pin Thar, Nan Mar",24.86937,96.434181,1,1,Armed Resistance,Assasination,PDF,SAC,"On the evening of September 6th, unidentified gunmen - either the PDF or the KIA - shot dead three members of a SAC-alligned militia.",3,3,1,3,https://t.me/khitthitnews/7113,
6/9/2021,1,Mandalay,Mandalay,,62nd St,21.93052,96.110462,2,1,Armed Resistance,Assasination,PDF,SAC,"On September 6th, an explosive device detonated somewhere along Mandalay's 62nd St exploded and seriously injured a police officer.",,,1,3,https://t.me/khitthitnews/7118,
6/9/2021,1,Chin,Kanpetlet,,Between Saw and Kanpetlet,21.270542,94.123289,2,2,Armed Resistance,,PDF,SAC,"At around 6:30pm on September 6th, troops with the PDF clashed with the Tatmadaw between Saw and Kanpetlet. Clashes lasted approximately four hours and up to 20 Tatamadaw soldiers were killed, three PDF fighters were injured.",20,20,3,2,https://t.me/khitthitnews/7120,
7/9/2021,1,Magway,Taungwingyi,,103rd LIB Base,19.998683,95.523526,2,1,Armed Resistance,,PDF,SAC,"At around 4:30am on September 7th, an explosive device detonated outisde the Taungwingyi based 103rd LIB's base, killing one SAC member.",1,1,,2,https://t.me/khitthitnews/7129,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
