Date,Date Precision,State/Region,Township,Village Tract/Ward,Location,Latitude,Longitude,Location Precision,Location Confidence,Category,Sub-Category,Actor-1,Actor-2,Notes,Fatalities,SAC Fatalities,Injuries,Casualties confidence,Source,
2/4/2021,1,Kayin,,,"Bayint Naung Market, No.3 Ward, Myawaddy",16.683815,98.500721,1,1,Armed Resistance,Explosion,,,"On April 2nd, at roughly 7pm a bomb detonated out the front of Bayint Naung Market, No.3 Ward, Myawaddy.",,,,,https://www.facebook.com/225522737632555/posts/1647895855395229/?d=n,
2/4/2021,1,Kayin,,,Kyuak Taung,,,,,Violence Against Civilians,Artillery Strikes,SAC,,,,,,,https://www.facebook.com/385165108587508/posts/1164105907360087/?d=n,
2/4/2021,1,Mon,,Mat-cha,Hpar-Pein village,17.116,97.427,1,1,Violence Against Civilians,Artillery Strikes,SAC,,"On the night of April 2nd, the Tatmadaw launched artillery strikes at Hpar-Pein village (ဖားပိန် - 17.116, 97.427) in Mat-cha village tract (မတ်ချ), Mon State. These strikes injured a civilian.",0,,1,2,http://kicnews.org/2021/04/%E1%80%85%E1%80%85%E1%80%B9%E1%80%B1%E1%80%80%E1%80%AC%E1%80%84%E1%80%B9%E1%80%85%E1%80%AE%E1%80%90%E1%80%95%E1%80%B9%E1%80%99%E1%80%BD-%E1%80%9C%E1%80%80%E1%80%B9%E1%80%94%E1%80%80%E1%80%B9%E1%82%80/,
2/4/2021,1,Sagaing,Homalin,Nant Thar,Yae Kyi Creek,24.973531,95.476617,2,1,Armed Resistance,,PDF,SAC,"On April 2nd, a group of police officers returning from collecting their salaries in Homalin town were reportedly attacked by a group of roughly 20 unknown gunmen - likely from a PDF group. One officer was killed and two were injured. Guns, ammunition and money were siezed from the officers.",1,1,2,2,https://news-eleven.com/article/206503,
3/4/2021,1,Kachin,Hpakant,,,25.63,96.47,1,3,Armed Clashes,Artillery Strikes,SAC,KIA,"On April 3rd the Tatmadaw's 365th arillery unit based in ""Ginsi Byuha Kawng"" fired an artillery round at a security outpost of the KIA's 9th Brigade. These locations are not known, so it has been geocoded to the township-level.",0,,0,3,https://www.freeburmarangers.org/2021/04/09/kachin-state-clash-report-1-6-april-2021/,
3/4/2021,1,Kachin,,Ma Ram,Namti Nlung Bum,25.35171,97.06624,0,1,Armed Clashes,Ambush,KIA,SAC,"On the morning of April 3rd the KIA ambushed and attacked a Tatmadaw convoy on the road between Myitkyina and Namti, near Nlung Bum",,,,3,https://www.freeburmarangers.org/2021/04/09/kachin-state-clash-report-1-6-april-2021/,
3/4/2021,1,Mon,,,Ta La Aww Poe Klar,17.09887,97.429276,1,2,Violence Against Civilians,Artillery Strikes,SAC,,"On 3 April 2021, soldiers from the Burma Army attacked the Karen at Ta La Aww Poe Klar Village, Thaton District. The villagers and Karen Army resisted and a nearby unit was radioed to support and fired with 120mm mortars. One woman was wounded.",0,,1,1,https://www.freeburmarangers.org/2021/04/13/burma-army-wounds-11-year-old-girl-kills-man-wounds-five-others-continued-attacks-24000-now-displaced-northern-karen-state/,
3/4/2021,1,Shan (North),Namhkan,Kawng Kat,"""Lawu Manwing"" near Mon Ywei",23.787872,97.636639,0,1,Armed Clashes,,KIA,SAC,"On April 3 at 1530 hrs, KIA Coy (4) of 8th Battalion clashed with an unknown unit of Burma Army at Lawu Manwing near Mung Wi. The fighting lasted 20 minutes, in Namhkam Township.",,,,3,https://www.freeburmarangers.org/2021/04/09/kachin-state-clash-report-1-6-april-2021/,
4/4/2021,1,Bago,Bago,,KBZ Bank,17.335191,96.486242,1,1,Armed Resistance,Explosion,PDF,SAC,"On April 4th at roughly 3pm, unidentified people on motorcycles threw explosives at a military outpost on the Northern banks of Lake Pyarkan (လိပ်ပြာကန်) in Bago. ",0,,0,2,https://www.irrawaddy.com/news/burma/bago-bombs-target-myanmar-military-linked-sites.html,
4/4/2021,1,Bago,Bago,,South of Shwemawdaw Pagoda,17.334889,96.496925,1,1,Armed Resistance,Explosion,PDF,SAC,A second grenade thrown at a guardhouse in the Southern gate of Shwemawdaw Pagoda (ပဲခူး ရွှေမော်ဓောဘုရား) did explode without injuries.,0,,0,2,https://www.irrawaddy.com/news/burma/bago-bombs-target-myanmar-military-linked-sites.html,
4/4/2021,1,Kayin,Hpapun,,"On the Western side of the Hpapun-Kamarmaung road. Near ""Ma Maung"" and ""Myiang Gyi Ngu"" villages",17.44961,97.58861,3,1,Armed Clashes,Ambush,KNLA,SAC,Guerrilla forces launched attacks on SAC troops moving along the highway.,0,,0,3,https://burmese.voanews.com/a/knu-myanmar-army-fighting/5840231.html,
4/4/2021,1,Kayin,,,Na Kyi,17.642522,97.563788,2,2,Violence Against Civilians,Artillery Strikes,SAC,,"On 4 April 2021, Border Guard Force (BGF) unit 1013 in Ker Ter Ti, Butho Township, shot mortars into three villages. Their location cannot be determined, so the event has been geocoded to a village within range of the BGF base.",0,,0,2,https://www.freeburmarangers.org/2021/04/13/burma-army-wounds-11-year-old-girl-kills-man-wounds-five-others-continued-attacks-24000-now-displaced-northern-karen-state/,
4/4/2021,1,Kayin,,,Mae Nu Hta,17.642522,97.563788,2,2,Violence Against Civilians,Artillery Strikes,SAC,,"On 4 April 2021, Border Guard Force (BGF) unit 1013 in Ker Ter Ti, Butho Township, shot mortars into three villages. Their location cannot be determined, so the event has been geocoded to a village within range of the BGF base.",0,,0,2,https://www.freeburmarangers.org/2021/04/13/burma-army-wounds-11-year-old-girl-kills-man-wounds-five-others-continued-attacks-24000-now-displaced-northern-karen-state/,
4/4/2021,1,Kayin,,,Kaw Wah Hta,17.642522,97.563788,2,2,Violence Against Civilians,Artillery Strikes,SAC,,"On 4 April 2021, Border Guard Force (BGF) unit 1013 in Ker Ter Ti, Butho Township, shot mortars into three villages. Their location cannot be determined, so the event has been geocoded to a village within range of the BGF base.",0,,0,2,https://www.freeburmarangers.org/2021/04/13/burma-army-wounds-11-year-old-girl-kills-man-wounds-five-others-continued-attacks-24000-now-displaced-northern-karen-state/,
4/4/2021,1,Mon,,,Lay Kay Village,17.366888,97.431193,1,1,Armed Clashes,,KNLA,SAC,,0,,0,2,https://www.facebook.com/karenhumanrightsgroup/posts/10158118639791344,
4/4/2021,1,Rakhine,Kyauktaw,,Shwebye Village,20.922619,93.013549,1,1,Violence Against Civilians,UXO,,,Clashes between the AA and the Tatmadaw have occured in this region recently.,3,,1,1,https://burma.irrawaddy.com/news/2021/04/05/240394.html,
4/4/2021,1,Sagaing,Tamu,,,24.21643,94.31163,2,1,Armed Resistance,Explosion,PDF,SAC,A 'car bomb' (possibly a grenade on a car) exploded killing four security forces.,4,4,0,2,http://www.thithtoolwin.com/2021/04/blog-post_26.html,
4/4/2021,1,Shan (North),Lashio,Loi Sat,"""Loilem"" road junction, near Pang Hkar Village",23.063883,98.177413,0,1,Armed Clashes,,KIA,SAC,"On April 4th, roughly 100 Tatmadaw soliders were ambushed by the KIA's 17th battalion. Two villagers were arrested by the Tatmadaw following the clahses, including the village chief.",0,,0,3,https://burmese.shannews.org/archives/21539,
4/4/2021,1,Shan (North),Namtu,Panglong,Across the village tract,22.812,97.375,2,1,Armed Clashes,,NA,RCSS,Clashes have occured since March 28th. Five civilians have been killed. Hundreds have fled.,5,,0,3,https://burmese.voanews.com/a/shan-idp-conflict/5840970.html,
4/4/2021,1,Shan (North),Namtu,,Man Li,22.72983932,97.35222626,1,1,Violence Against Civilians,Arson,SSA-S,,"In the aftermath of clashes between the TNLA and the SSA-S, the SSA-S burnt 8 civilian houses down in Man Li village.",,,,,https://burma.irrawaddy.com/news/2021/05/06/241550.html,
5/4/2021,1,Kachin,Momauk ,,"Track to Alaw Bum, near XX village",24.50648,97.43561,0,1,Armed Clashes,Ambush,KIA,SAC,"On April 5 at 0400 hrs, KIA soldiers from 25th Battalion attacked an estimated 50 Burma Army soldiers moving to Alaw Bum from LIB (438) Numlang Base, with landmines at the coordinates: (LH 415 112) in Momauk Township.",,,,3,https://www.freeburmarangers.org/2021/04/09/kachin-state-clash-report-1-6-april-2021/,
5/4/2021,1,Kayin,,,Day Taw Kee,18.5131,97.14,1,3,Violence Against Civilians,Artillery Strikes,SAC,,"On 5 April 2021, 19:00 local time, Burma Army MOC 8, LIB 410 from Kler Chi Kyo camp shot mortars and two landed in Day Taw Kee, Luthaw Township, Papun District",0,,0,2,https://www.freeburmarangers.org/2021/04/13/burma-army-wounds-11-year-old-girl-kills-man-wounds-five-others-continued-attacks-24000-now-displaced-northern-karen-state/,
5/4/2021,1,Kayin,,,Nya Peh Kee,17.578,97.57,2,3,Violence Against Civilians,Artillery Strikes,SAC,,"On 5 April 2021, 19:00 local time, Burma Army MOC 8, LIB 410 from Kler Chi Kyo camp shot mortars and three landed close to Nya Peh Kee Village",0,,0,2,https://www.freeburmarangers.org/2021/04/13/burma-army-wounds-11-year-old-girl-kills-man-wounds-five-others-continued-attacks-24000-now-displaced-northern-karen-state/,
5/4/2021,1,Sagaing,Indaw,,Indaw,24.22208,96.143847,1,1,Armed Resistance,,PDF,SAC,"Protesters in Indaw, Sagaing region, attacked a police station after local striking teachers were arrested. One villager was killed and one was injured",1,,1,3,https://kachinlandnews.com/?p=29849,
5/4/2021,1,Sagaing,Pinlebu,,Pinlebu,24.078855,95.368398,1,1,Armed Resistance,,PDF,SAC,"On April 5th there were lengthy clashes between self-defence militas at Burmese security forces in Pinlebu town, Sagaing region. At least three locals were killed, along with one officer and a Tatmadaw private.",5,2,,2,https://www.myanmar-now.org/mm/news/6419,
5/4/2021,1,Sagaing,,Pinlebu,Pagoda Hill,24.079417,95.368594,2,1,Armed Resistance,Improvised gun-attacks,PDF,SAC,Villagers opened fire on police after a villager was killed. At least two police were injured.,2,,4,2,https://www.bbc.com/burmese/burma-56643346,
5/4/2021,2,Shan (North),Hsipaw,,Man Li,22.0966,97.52,2,1,Armed Clashes,,NA,SSA-S,In the first week of April there were heavy clashes between the TNLA and SSA-S in these village tracts. Several villages were cleared of civilians.,,,,3,https://burma.irrawaddy.com/news/2021/04/06/240455.html,
5/4/2021,1,Shan (North),Kutkai,Nar Nwet,Nam Kut,23.53892,97.91354,0,1,Armed Clashes,Ambush,KIA,SAC,"On April 5th, the KIA opened fire on roughly 80 Tatmadaw soldiers marching along the road north of Kutkai near Nam Kut (နမ့်ကွတ်ကျောင်း), Nar Nwet (နားနွဲ့) township, Kutkai. ",,,,3,https://www.burmese.kachinlandnews.com/%e1%80%9e%e1%80%bb%e1%80%be%e1%80%99%e1%80%ba%e1%80%b8%e1%80%95%e1%80%bc%e1%80%8a%e1%80%ba%e1%80%99%e1%80%bc%e1%80%b1%e1%80%ac%e1%80%80%e1%80%ba%e1%80%95%e1%80%ad%e1%80%af%e1%80%84%e1%80%ba%e1%80%b8-7/,
5/4/2021,1,Shan (North),Kutkai,Mong Paw,Road between Kawng Hkam and Mong Paw.,23.58067,98.484151,0,1,Armed Clashes,Ambush,KIA,SAC,"On April 5th, roughly 80 Tatmadaw soldiers travelling from ""Mungji"" were ambushed by the KIA along the road at 23.580670, 98.484151 in Mong Paw village tract (မိုင်းပေါ) between Kawng Hkam (ကောင်းခမ်း) and Mong Paw villages.",,,,3,https://www.freeburmarangers.org/2021/04/09/kachin-state-clash-report-1-6-april-2021/,
5/4/2021,1,Shan (North),Kyaukme,,Highway toll-gate along the Mandalay-Lashio road - Coordinates geolocated,22.540924,97.058108,1,1,Armed Resistance,Explosion,,SAC,"On April 5th at roughly 7:15pm a hand grenade was thrown at a highway toll-gate along the Mandalay-Lashio road, near Kyaukme. It's reported this was outside a police recruitment centre, and that three staff were injured. ",0,,3,1,https://burmese.voanews.com/a/kyauk-mae-explosion/5842425.html,
5/4/2021,1,Shan (North),Muse,Hpai Kawng,Hpai Kawng,24.08737946,98.11580658,0,1,Armed Resistance,Explosion,,,"On April 5th, an explosive device detonated - apparently without injury - in Hpai Kawng (ဖိုင်ကောင်း) village, Muse township, Shan state. Locals have reported daily explosions at around 8pm (curfew time) for at least four days. ",0,,0,1,https://burmese.shannews.org/archives/21565,
5/4/2021,2,Shan (North),Namtu,,Man San,22.93271065,97.42601013,2,1,Armed Clashes,,NA,SSA-S,In the first week of April there were heavy clashes between the TNLA and SSA-S in these village tracts. Several villages were cleared of civilians.,,,,3,https://burma.irrawaddy.com/news/2021/04/06/240455.html,
5/4/2021,2,Shan (North),Namtu,,Mong Mu,22.91765022,97.42669678,2,1,Armed Clashes,,NA,SSA-S,In the first week of April there were heavy clashes between the TNLA and SSA-S in these village tracts. Several villages were cleared of civilians.,,,,3,https://burma.irrawaddy.com/news/2021/04/06/240455.html,
5/4/2021,2,Shan (North),Namtu,,Pang Long,22.8096,97.37,2,1,Armed Clashes,,NA,SSA-S,In the first week of April there were heavy clashes between the TNLA and SSA-S in these village tracts. Several villages were cleared of civilians.,,,,3,https://burma.irrawaddy.com/news/2021/04/06/240455.html,
5/4/2021,1,Yangon,Yankin,,Moe Kaung Treasure Maternal and Child Hospital ,16.830767,96.169892,0,1,Armed Resistance,Explosion,,SAC,"At around 9pm, while Tatmadaw forces were stationed near the newly opened Moe Kaung Rd Children's Hospital an explosive device detonated without injury or damage.",0,,0,2,https://www.irrawaddy.com/news/burma/new-myanmar-junta-owned-hospital-targeted-bombs.html,
6/4/2021,1,Kachin,Hpakant,,Wa Ra Zut,25.80677986,96.63717651,1,1,Violence Against Civilians,Artillery,SAC,,"On April 6th, Tatmadaw troops with the 297th LIB fired four rounds of artillery into the village of Wa Ra Zut. No one was injured.",,,,,https://kachinwomen.com/wp-content/uploads/2021/06/Deadly_Reprisals_ENG.pdf#page=12,
6/4/2021,1,Kachin,Mogaung,,Loi Li Yang,25.385755,96.91365,1,1,Violence Against Civilians,,SAC,,"At around 11:30am on April 6th, Tatmadaw soldiers shot at a house that was conducting a funeral in Mogaung township. One villager attending the funeral was hit by gunfire and killed.",1,,,,https://kachinwomen.com/wp-content/uploads/2021/06/Deadly_Reprisals_ENG.pdf#page=4,
6/4/2021,1,Kayin,,,Day Taw Kee,17.91,97.23,2,2,Violence Against Civilians,Artillery Strikes,SAC,,"On 6 April 2021, 19:00 to 21:00 local time, MOC 8 LIB 410, based in Kler Chi Kyo, shot mortars into nearby villages, landing close to Day Taw Kee Village, Mae Thaw Hta area.",,,,,https://www.freeburmarangers.org/2021/04/13/burma-army-wounds-11-year-old-girl-kills-man-wounds-five-others-continued-attacks-24000-now-displaced-northern-karen-state/,
6/4/2021,1,Kayin,,,Mae Thaw Kee,17.827,97.23,2,2,Violence Against Civilians,Artillery Strikes,SAC,,"On 6 April 2021, 19:00 to 21:00 local time, the Burmese Army from Noh Kyo camp shelled nearby villages. Rounds landed close to Mae Thaw Kee Village, Mae Thaw Hta area.",,,,,https://www.freeburmarangers.org/2021/04/13/burma-army-wounds-11-year-old-girl-kills-man-wounds-five-others-continued-attacks-24000-now-displaced-northern-karen-state/,
6/4/2021,1,Kayin,,,Htee Nya Li Klo,18.064537,97.696278,2,2,Violence Against Civilians,Artillery Strikes,SAC,,"On 6 April 2021 at 21:30, Burma Army from Mae Ta Ri Hta shot mortars and two rounds landed in Htee Nya Li Klo, Dah Kway area. The precise location is unkown, this is estimated as being a settlement around Dah Kway area. ",,,,,https://www.freeburmarangers.org/2021/04/13/burma-army-wounds-11-year-old-girl-kills-man-wounds-five-others-continued-attacks-24000-now-displaced-northern-karen-state/,
6/4/2021,1,Mon,Ye,Koe Maing,Man Aung Village,15.135,97.913,1,1,Armed Clashes,,KNLA,SAC,"On April 6th at roughly 6pm (3hr ago), clashes stared between the KNU's 16th batallion and the SAC in Mon State's Man Aung village (မန်အောင် - 15.135,  97.913) of Koe Maing village tract (ကိုးမိုင်) Ye Township. Initial reports of one wounded.",,,1,2,http://kicnews.org/2021/04/knu-%e1%80%90%e1%80%95%e1%80%b9%e1%80%99%e1%80%9f%e1%80%ac-%e1%81%86-%e1%82%8f%e1%80%bd%e1%80%84%e1%80%b7%e1%80%b9-%e1%80%85%e1%80%85%e1%80%b9%e1%80%b1%e1%80%80%e1%80%ac%e1%80%84%e1%80%b9%e1%80%85/,
6/4/2021,1,Shan (North),Muse,,Between Mant Yang and Bang Hmway villages,24.08987,98.41559,0,1,Armed Clashes,Ambush,KIA,SAC,"On April 6 between 1710-1725 hrs, an estimated 60 Burma Army soldiers coming on foot from Hpawng Seng under Northeast Command were attacked by KIA soldiers from Coy (4) of 36th Battalion, at MG 406 643 between Mant Yang and Bang Hmway in Muse Township.",,,,3,https://www.freeburmarangers.org/2021/04/09/kachin-state-clash-report-1-6-april-2021/,
6/4/2021,1,Shan (North),,Man Kyei,Between Nawang Kan and Mong Paw villages,23.67,98.17,2,2,Armed Clashes,,KIA,SAC,"On April 6th, KIA forces clashes with the Tatmadaw's LIR-363 in Man Kyei village tract (23.67, 98.17 - မန်ကျယ်), between Nawang Kan (နောင်ကန်) and Mong Paw (မိုင်းပေါ) in Kutkai Township. ",,,,3,https://twitter.com/FreeKachin/status/1379412648043905036,
6/4/2021,1,Tanintharyi ,Dawei,Ah Myar,Ah Ma Lar Htar village,13.8587,99.00177002,2,1,Armed Clashes,,KNLA,SAC,"On April 6th, KNU troops clashed with Tatmadaw soldiers in the vacinity of Ah Ma Lar Htar village (အမလာထာ), Ah Myar Village tract (အမြား), Dawei District, Tanintharyi region. At least two civilians were killed in the clashes. ",2,,,2,http://kicnews.org/2021/04/knu-%e1%80%90%e1%80%95%e1%80%b9%e1%80%99%e1%80%9f%e1%80%ac-%e1%81%84-%e1%82%8f%e1%80%bd%e1%80%84%e1%80%b7%e1%80%b9-%e1%80%85%e1%80%85%e1%80%b9%e1%80%b1%e1%80%80%e1%80%ac%e1%80%84%e1%80%b9%e1%80%85/,
6/4/2021,1,Yangon,,,Shwe Mann Thu (ရွှေမန်းသူ) bus depot,16.855551,96.169375,1,1,Armed Resistance,Explosion,,,"At around 6:30 this afternoon (April 6th), a explosive device detonated at Shwe Mann Thu (ရွှေမန်းသူ) bus depot in South Okkalapa, Yangon. Unclear who detonated it, or what it was targetting, or if anyone was injured. The bus depot stores many buses. ",0,,0,2,https://twitter.com/nslwin/status/1379437022364897281,
7/4/2021,1,Kachin,Momauk,Lai Lum Li Saw,Shang Tum Bum,24.768372,97.511706,1,3,Armed Clashes,Artillery Strikes,KIA,SAC,"On April 7th, at roughly 2:30pm, KIA troops fired 60mm mortars from their HQ in Laiza towards the Tatmadaw outpost at ""Shang Tum Bum"" in Lai Lum Li Saw village tract.",,,,,https://www.kachinlandnews.com/?p=29854,
7/4/2021,1,Kayin,Hpapun,Lay Poe Hta,Nay Ka,17.505733,97.564805,1,1,Violence Against Civilians,Artillery Strikes,SAC,,"On 7 April 2021, 08:00 local time, Burma Army MOC 8, LIB 408, advanced on the road between Kamamoung and Papun. As they advanced they deployed mortars, shelling into any nearby villages and farms. They fired 60mm mortars into Nay Ka Village, which is part of Lay Poe Hta Village tract, in Dwelo Township, Papun District; the rounds wounded four civilians.",,,4,1,https://www.freeburmarangers.org/2021/04/13/burma-army-wounds-11-year-old-girl-kills-man-wounds-five-others-continued-attacks-24000-now-displaced-northern-karen-state/,
7/4/2021,1,Kayin,,,Waw Lay,16.292765,98.713303,1,2,Armed Clashes,,SAC,KNLA,"On April 7th, troops with the Tatmadaw raided the village of Waw Lay, under the control of the KNU.",,,,,https://www.myanmar-now.org/mm/news/6437,
7/4/2021,1,Mon,Ye,Koe Maing,Man Aung Village,15.135,97.913,1,1,Armed Clashes,Explosion,KNLA,SAC,"On the morning of April 7th, 7 Tatmadaw soldiers were reportedly killed along with a civilian porter, in a KNLA mine explosion near Man-Aung village (မန်အောင်) Koe Maing Village tract (ကိုးမိုင်), Ye township, Mon state.",8,7,0,2,https://twitter.com/shenzhilong001/status/1379794627050409985,
7/4/2021,1,Sagaing,Kalay,,Tarhan Protest Camp,23.197485,94.017828,1,2,Armed Resistance,,PDF,SAC,"On April 7th as Burmese security forces attempted to clear a protest camp in Kalay, Sagaing at least 11 people were killed defending the camp. It is unclear how much armed resistance was mounted at the security forces.",11,,0,2,https://aappb.org/wp-content/uploads/2021/04/Fatality-List-for-April-11-2021-English-1.pdf,
7/4/2021,1,Sagaing,Taze,,Taze,22.945303,95.372561,1,1,Armed Resistance,,PDF,SAC,"On April 7th in Taza, Sagaing, People's Defense Forces with improvised arms and hunting rifles skirmished with police forces after police came to crackdown on protests that had been regularly occuring in the town. ",,,,3,http://burmese.dvb.no/archives/456733,
7/4/2021,1,Sagaing,Taze,,Taze,22.945303,95.372561,1,1,Armed Resistance,,PDF,SAC,"On April 7th, People's Defense Forces opened fire on a convoy of roughly 300 Tatmadaw soldiers entering Taze city, Sagaing region. At least 6 civilians were killed. ",6,,,2,https://www.irrawaddy.com/news/burma/myanmar-junta-uses-explosives-killing-least-two-dozen-protesters.html,
7/4/2021,1,Shan (North),Kutkai,Man Pying,Man Pying Village,23.5128,98.202,1,2,Armed Clashes,Ambush,KIA,SAC,"On April 7th, troops from the KIA's 8th battalion ambushed four military trucks in the vicinity of Man Pying village.",,,,,https://www.kachinlandnews.com/?p=29854,
7/4/2021,1,Yangon,,,"Ziwaka St, Hpa Yar Gyi Ward",16.790965,96.151241,1,1,Armed Resistance,Explosion,,SAC,"On April 7th, 3 explosive deviced detonated without injury near military housing on Ziwaka St.",0,,0,1,https://www.irrawaddy.com/news/burma/series-explosions-rock-least-seven-locations-myanmars-largest-city.html,
7/4/2021,1,Yangon,,,Sanchaung Administrative Office,16.803676,96.131571,1,1,Armed Resistance,Explosion,,SAC,"On April 7th, 8 explosive devices detonated without injury across Yangon. One of them exploded in this location.",0,,0,1,https://www.irrawaddy.com/news/burma/series-explosions-rock-least-seven-locations-myanmars-largest-city.html,
7/4/2021,1,Yangon,,,Myaynigone Flyover,16.803777,96.137244,1,1,Armed Resistance,Explosion,,SAC,"On April 7th, 8 explosive devices detonated without injury across Yangon. One of them exploded in this location.",0,,0,1,https://www.irrawaddy.com/news/burma/series-explosions-rock-least-seven-locations-myanmars-largest-city.html,
7/4/2021,1,Yangon,,,Myanmar Plaza,16.828392,96.154964,1,1,Armed Resistance,Explosion,,SAC,"On April 7th, 8 explosive devices detonated without injury across Yangon. One of them exploded in this location.",0,,0,1,https://www.irrawaddy.com/news/burma/series-explosions-rock-least-seven-locations-myanmars-largest-city.html,
7/4/2021,1,Yangon,,,"8-Mile Junction, Mayangone",16.865994,96.142235,1,1,Armed Resistance,Explosion,,SAC,"On April 7th, 8 explosive devices detonated without injury across Yangon. One of them exploded in this location.",0,,0,1,https://www.irrawaddy.com/news/burma/series-explosions-rock-least-seven-locations-myanmars-largest-city.html,
7/4/2021,1,Yangon,,,Myanmar Port Authority office,16.769643,96.161544,1,1,Armed Resistance,Explosion,,SAC,"On April 7th, 8 explosive devices detonated without injury across Yangon. One of them exploded in this location.",0,,0,1,https://www.irrawaddy.com/news/burma/series-explosions-rock-least-seven-locations-myanmars-largest-city.html,
8/4/2021,1,Kachin,Mansi,Ding Sing Pa,KIA Positions around Ding Sing Pa,24.048904,97.485585,1,2,Armed Clashes,Artillery Strikes,SAC,KIA,"On April 8th, at 9am, Tatmadaw troops based out of ""Maji Gung Kaba"" fired artillery shells at KIA positions near Ding Sing (ဒိန်ဆိန်း).",,,,3,https://www.kachinlandnews.com/?p=29861,
8/4/2021,1,Kachin,Mansi,Kone Tein,Near Nambai Lung Hka,24.053088,97.222809,0,1,Armed Clashes,Ambush,KIA,SAC,"On April 9 at 1645 hrs, KIA militiamen attacked around eight armed policemen in two cars coming from Manje near Nambai Lung Hka above Hanhtet, wounding two policemen, in Mansi Township.",0,,1,2,https://www.freeburmarangers.org/2021/04/16/one-villager-killed-five-wounded-burma-army-escalates-attacks-northern-burma/,
8/4/2021,1,Kachin,Mogaung,,Loi Li Yang,25.372944,96.902562,0,1,Armed Clashes,Ambush,KIA,SAC,"On April 8th, five Tatmadaw soliders were killed by a KIA landmine and ambush in Loi Li Yang village tract, in Mogaung township.",5,5,3,1,https://www.irrawaddy.com/news/burma/kia-ambushes-myanmar-military-convoy-kachin-state.html,
